Duration;439;10;tryFind ;
Duration;55;10;tryFind ;
Duration;30;10;tryFind ;
Duration;29;10;tryFind ;
Duration;50;10;tryFind ;
Duration;30;10;tryFind ;
Duration;29;10;tryFind ;
Duration;29;10;tryFind ;
Duration;28;10;tryFind ;
Duration;28;10;tryFind ;
Duration;55;20;tryFind ;
Duration;57;20;tryFind ;
Duration;59;20;tryFind ;
Duration;56;20;tryFind ;
Duration;57;20;tryFind ;
Duration;56;20;tryFind ;
Duration;56;20;tryFind ;
Duration;57;20;tryFind ;
Duration;56;20;tryFind ;
Duration;56;20;tryFind ;
Duration;82;30;tryFind ;
Duration;84;30;tryFind ;
Duration;83;30;tryFind ;
Duration;84;30;tryFind ;
Duration;83;30;tryFind ;
Duration;84;30;tryFind ;
Duration;86;30;tryFind ;
Duration;84;30;tryFind ;
Duration;83;30;tryFind ;
Duration;84;30;tryFind ;
Duration;111;40;tryFind ;
Duration;112;40;tryFind ;
Duration;111;40;tryFind ;
Duration;112;40;tryFind ;
Duration;115;40;tryFind ;
Duration;111;40;tryFind ;
Duration;112;40;tryFind ;
Duration;112;40;tryFind ;
Duration;111;40;tryFind ;
Duration;112;40;tryFind ;
Duration;137;50;tryFind ;
Duration;139;50;tryFind ;
Duration;139;50;tryFind ;
Duration;138;50;tryFind ;
Duration;140;50;tryFind ;
Duration;139;50;tryFind ;
Duration;139;50;tryFind ;
Duration;139;50;tryFind ;
Duration;138;50;tryFind ;
Duration;138;50;tryFind ;
Duration;169;60;tryFind ;
Duration;168;60;tryFind ;
Duration;167;60;tryFind ;
Duration;168;60;tryFind ;
Duration;552;60;tryFind ;
Duration;326;60;tryFind ;
Duration;217;60;tryFind ;
Duration;168;60;tryFind ;
Duration;225;60;tryFind ;
Duration;172;60;tryFind ;
Duration;197;70;tryFind ;
Duration;217;70;tryFind ;
Duration;214;70;tryFind ;
Duration;199;70;tryFind ;
Duration;195;70;tryFind ;
Duration;194;70;tryFind ;
Duration;195;70;tryFind ;
Duration;194;70;tryFind ;
Duration;199;70;tryFind ;
Duration;195;70;tryFind ;
Duration;221;80;tryFind ;
Duration;222;80;tryFind ;
Duration;227;80;tryFind ;
Duration;223;80;tryFind ;
Duration;222;80;tryFind ;
Duration;221;80;tryFind ;
Duration;226;80;tryFind ;
Duration;222;80;tryFind ;
Duration;221;80;tryFind ;
Duration;318;80;tryFind ;
Duration;248;90;tryFind ;
Duration;254;90;tryFind ;
Duration;247;90;tryFind ;
Duration;248;90;tryFind ;
Duration;247;90;tryFind ;
Duration;254;90;tryFind ;
Duration;248;90;tryFind ;
Duration;247;90;tryFind ;
Duration;252;90;tryFind ;
Duration;248;90;tryFind ;
Duration;280;100;tryFind ;
Duration;277;100;tryFind ;
Duration;276;100;tryFind ;
Duration;280;100;tryFind ;
Duration;276;100;tryFind ;
Duration;278;100;tryFind ;
Duration;280;100;tryFind ;
Duration;276;100;tryFind ;
Duration;277;100;tryFind ;
Duration;276;100;tryFind ;
Duration;309;110;tryFind ;
Duration;305;110;tryFind ;
Duration;303;110;tryFind ;
Duration;311;110;tryFind ;
Duration;304;110;tryFind ;
Duration;304;110;tryFind ;
Duration;306;110;tryFind ;
Duration;396;110;tryFind ;
Duration;312;110;tryFind ;
Duration;304;110;tryFind ;
Duration;344;120;tryFind ;
Duration;334;120;tryFind ;
Duration;340;120;tryFind ;
Duration;334;120;tryFind ;
Duration;403;120;tryFind ;
Duration;468;120;tryFind ;
Duration;333;120;tryFind ;
Duration;378;120;tryFind ;
Duration;336;120;tryFind ;
Duration;333;120;tryFind ;
Duration;365;130;tryFind ;
Duration;360;130;tryFind ;
Duration;362;130;tryFind ;
Duration;369;130;tryFind ;
Duration;359;130;tryFind ;
Duration;366;130;tryFind ;
Duration;361;130;tryFind ;
Duration;361;130;tryFind ;
Duration;375;130;tryFind ;
Duration;360;130;tryFind ;
Duration;386;140;tryFind ;
Duration;402;140;tryFind ;
