Info;Testing script B;;;;;;;;
Duration;2;insert ;1;;;;poèet;suma èasov;priemer
Duration;6;insert ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;7;insert ;20;;;;;;
Duration;13;remove ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;10;remove ;19;;;;;;
Duration;4;insert ;20;;;;;;
Duration;4;tryFind ;20;;;;;;
Duration;12;remove ;19;;;;;;
Duration;7;insert ;20;;;;;;
Duration;13;remove ;19;;;;;;
Duration;13;remove ;18;;;;;;
Duration;7;insert ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;7;insert ;21;;;;;;
Duration;6;insert ;22;;;;;;
Duration;4;tryFind ;22;;;;;;
Duration;4;tryFind ;22;;;;;;
Duration;20;remove ;21;;;;;;
Duration;6;insert ;22;;;;;;
Duration;8;remove ;21;;;;;;
Duration;17;remove ;20;;;;;;
Duration;7;insert ;21;;;;;;
Duration;5;tryFind ;21;;;;;;
Duration;16;remove ;20;;;;;;
Duration;20;remove ;19;;;;;;
Duration;18;remove ;18;;;;;;
Duration;6;insert ;19;;;;;;
Duration;7;insert ;20;;;;;;
Duration;6;insert ;21;;;;;;
Duration;6;insert ;22;;;;;;
Duration;7;insert ;23;;;;;;
Duration;8;remove ;22;;;;;;
Duration;7;insert ;23;;;;;;
Duration;6;insert ;24;;;;;;
Duration;18;remove ;23;;;;;;
Duration;10;remove ;22;;;;;;
Duration;8;insert ;23;;;;;;
Duration;7;insert ;24;;;;;;
Duration;5;tryFind ;24;;;;;;
Duration;18;remove ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;10;remove ;22;;;;;;
Duration;18;remove ;21;;;;;;
Duration;17;remove ;20;;;;;;
Duration;6;insert ;21;;;;;;
Duration;4;tryFind ;21;;;;;;
Duration;15;remove ;20;;;;;;
Duration;12;remove ;19;;;;;;
Duration;4;tryFind ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;20;remove ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;7;insert ;21;;;;;;
Duration;6;insert ;22;;;;;;
Duration;12;remove ;21;;;;;;
Duration;12;remove ;20;;;;;;
Duration;6;insert ;21;;;;;;
Duration;6;insert ;22;;;;;;
Duration;6;insert ;23;;;;;;
Duration;7;insert ;24;;;;;;
Duration;15;remove ;23;;;;;;
Duration;20;remove ;22;;;;;;
Duration;6;tryFind ;22;;;;;;
Duration;6;insert ;23;;;;;;
Duration;5;tryFind ;23;;;;;;
Duration;12;remove ;22;;;;;;
Duration;14;remove ;21;;;;;;
Duration;5;tryFind ;21;;;;;;
Duration;7;insert ;22;;;;;;
Duration;6;insert ;23;;;;;;
Duration;8;insert ;24;;;;;;
Duration;10;remove ;23;;;;;;
Duration;14;remove ;22;;;;;;
Duration;19;remove ;21;;;;;;
Duration;12;remove ;20;;;;;;
Duration;6;insert ;21;;;;;;
Duration;16;remove ;20;;;;;;
Duration;9;remove ;19;;;;;;
Duration;5;tryFind ;19;;;;;;
Duration;11;remove ;18;;;;;;
Duration;8;remove ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;17;remove ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;11;remove ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;5;tryFind ;17;;;;;;
Duration;7;insert ;18;;;;;;
Duration;9;remove ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;9;remove ;17;;;;;;
Duration;14;remove ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;17;remove ;17;;;;;;
Duration;11;remove ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;14;remove ;16;;;;;;
Duration;8;remove ;15;;;;;;
Duration;21;remove ;14;;;;;;
Duration;13;remove ;13;;;;;;
Duration;3;insert ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;6;insert ;16;;;;;;
Duration;7;insert ;17;;;;;;
Duration;14;remove ;16;;;;;;
Duration;13;remove ;15;;;;;;
Duration;12;remove ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;6;insert ;16;;;;;;
Duration;13;remove ;15;;;;;;
Duration;16;remove ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;15;remove ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;4;tryFind ;15;;;;;;
Duration;4;tryFind ;15;;;;;;
Duration;20;remove ;14;;;;;;
Duration;8;remove ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;13;remove ;13;;;;;;
Duration;9;remove ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;9;remove ;11;;;;;;
Duration;11;remove ;10;;;;;;
Duration;6;insert ;11;;;;;;
Duration;8;remove ;10;;;;;;
Duration;6;insert ;11;;;;;;
Duration;11;remove ;10;;;;;;
Duration;4;tryFind ;10;;;;;;
Duration;6;insert ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;6;insert ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;16;remove ;17;;;;;;
Duration;8;remove ;16;;;;;;
Duration;7;insert ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;11;remove ;16;;;;;;
Duration;6;insert ;17;;;;;;
Duration;6;insert ;18;;;;;;
