Info;Testing script A;;;;;;;;
Duration;2378;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;4;insert ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;7;remove ;1;;;;;;
Duration;4;remove ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;0;tryFind ;0;;;;;;
Duration;1;insert ;1;;;;;;
Duration;4;insert ;2;;;;;;
Duration;6;remove ;1;;;;;;
Duration;4;insert ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;3;tryFind ;2;;;;;;
Duration;4;insert ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;5;insert ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;3;tryFind ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;6;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;6;remove ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;6;remove ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;3;tryFind ;3;;;;;;
Duration;4;insert ;4;;;;;;
Duration;4;insert ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;7;insert ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;10;remove ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;4;tryFind ;6;;;;;;
Duration;7;remove ;5;;;;;;
Duration;6;remove ;4;;;;;;
Duration;5;insert ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;7;remove ;4;;;;;;
Duration;6;insert ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;9;remove ;5;;;;;;
Duration;4;tryFind ;5;;;;;;
Duration;6;remove ;4;;;;;;
Duration;4;insert ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;10;remove ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;8;remove ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;6;remove ;5;;;;;;
Duration;3;tryFind ;5;;;;;;
Duration;5;insert ;6;;;;;;
Duration;3;tryFind ;6;;;;;;
Duration;5;insert ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;6;insert ;8;;;;;;
Duration;5;insert ;9;;;;;;
Duration;4;tryFind ;9;;;;;;
Duration;10;remove ;8;;;;;;
Duration;4;tryFind ;8;;;;;;
Duration;5;insert ;9;;;;;;
Duration;4;tryFind ;9;;;;;;
Duration;6;insert ;10;;;;;;
Duration;4;tryFind ;10;;;;;;
Duration;3;tryFind ;10;;;;;;
Duration;4;tryFind ;10;;;;;;
Duration;26;insert ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;5;insert ;12;;;;;;
Duration;8;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;6;insert ;12;;;;;;
Duration;3;tryFind ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;10;remove ;12;;;;;;
Duration;10;remove ;11;;;;;;
Duration;4;tryFind ;11;;;;;;
Duration;6;tryFind ;11;;;;;;
Duration;5;insert ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;12;remove ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;4;tryFind ;12;;;;;;
Duration;3;tryFind ;12;;;;;;
Duration;3;insert ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;10;remove ;13;;;;;;
Duration;12;remove ;12;;;;;;
Duration;6;insert ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;8;remove ;13;;;;;;
Duration;4;tryFind ;13;;;;;;
Duration;6;insert ;14;;;;;;
Duration;6;insert ;15;;;;;;
Duration;4;tryFind ;15;;;;;;
Duration;4;tryFind ;15;;;;;;
Duration;7;insert ;16;;;;;;
Duration;8;insert ;17;;;;;;
Duration;5;tryFind ;17;;;;;;
Duration;12;remove ;16;;;;;;
Duration;4;tryFind ;16;;;;;;
Duration;4;tryFind ;16;;;;;;
Duration;4;insert ;17;;;;;;
Duration;7;insert ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;11;remove ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;8;remove ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;8;remove ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;4;tryFind ;17;;;;;;
Duration;6;insert ;18;;;;;;
Duration;11;remove ;17;;;;;;
Duration;7;insert ;18;;;;;;
Duration;6;insert ;19;;;;;;
Duration;6;insert ;20;;;;;;
Duration;5;tryFind ;20;;;;;;
Duration;17;remove ;19;;;;;;
Duration;4;tryFind ;19;;;;;;
Duration;4;tryFind ;19;;;;;;
Duration;15;remove ;18;;;;;;
Duration;5;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;4;tryFind ;18;;;;;;
Duration;6;insert ;19;;;;;;
