Info;Testing script B;;;;;;;;
Duration;1;tryFind ;0;;;;poèet;suma èasov;priemer
Duration;16;remove ;8;;;;;;
Duration;7;insert ;9;;;;;;
Duration;16;remove ;8;;;;;;
Duration;14;remove ;7;;;;;;
Duration;7;insert ;8;;;;;;
Duration;14;remove ;7;;;;;;
Duration;13;remove ;6;;;;;;
Duration;7;insert ;7;;;;;;
Duration;3;tryFind ;7;;;;;;
Duration;9;insert ;8;;;;;;
Duration;3;tryFind ;8;;;;;;
Duration;3;tryFind ;8;;;;;;
Duration;16;remove ;7;;;;;;
Duration;6;insert ;8;;;;;;
Duration;9;insert ;9;;;;;;
Duration;9;insert ;10;;;;;;
Duration;15;remove ;9;;;;;;
Duration;6;tryFind ;9;;;;;;
Duration;6;insert ;10;;;;;;
Duration;8;insert ;11;;;;;;
Duration;7;insert ;12;;;;;;
Duration;12;insert ;13;;;;;;
Duration;19;remove ;12;;;;;;
Duration;8;insert ;13;;;;;;
Duration;5;tryFind ;13;;;;;;
Duration;8;insert ;14;;;;;;
Duration;30;remove ;13;;;;;;
Duration;31;remove ;12;;;;;;
Duration;8;insert ;13;;;;;;
Duration;9;insert ;14;;;;;;
Duration;10;insert ;15;;;;;;
Duration;5;tryFind ;15;;;;;;
Duration;5;tryFind ;15;;;;;;
Duration;9;insert ;16;;;;;;
Duration;5;tryFind ;16;;;;;;
Duration;15;remove ;15;;;;;;
Duration;32;remove ;14;;;;;;
Duration;5;tryFind ;14;;;;;;
Duration;5;tryFind ;14;;;;;;
Duration;31;remove ;13;;;;;;
Duration;9;insert ;14;;;;;;
Duration;6;tryFind ;14;;;;;;
Duration;10;insert ;15;;;;;;
Duration;6;tryFind ;15;;;;;;
Duration;33;remove ;14;;;;;;
Duration;5;tryFind ;14;;;;;;
Duration;5;tryFind ;14;;;;;;
Duration;8;insert ;15;;;;;;
Duration;16;remove ;14;;;;;;
Duration;4;tryFind ;14;;;;;;
Duration;14;remove ;13;;;;;;
Duration;17;remove ;12;;;;;;
Duration;20;tryFind ;12;;;;;;
Duration;10;insert ;13;;;;;;
Duration;5;tryFind ;13;;;;;;
Duration;14;remove ;12;;;;;;
Duration;16;remove ;11;;;;;;
Duration;6;tryFind ;11;;;;;;
Duration;8;insert ;12;;;;;;
Duration;17;remove ;11;;;;;;
Duration;16;remove ;10;;;;;;
Duration;7;insert ;11;;;;;;
Duration;18;remove ;10;;;;;;
Duration;8;insert ;11;;;;;;
Duration;15;remove ;10;;;;;;
Duration;10;insert ;11;;;;;;
Duration;9;insert ;12;;;;;;
Duration;7;insert ;13;;;;;;
Duration;10;insert ;14;;;;;;
Duration;9;insert ;15;;;;;;
Duration;17;remove ;14;;;;;;
Duration;5;tryFind ;14;;;;;;
Duration;7;insert ;15;;;;;;
Duration;8;insert ;16;;;;;;
Duration;15;remove ;15;;;;;;
Duration;7;insert ;16;;;;;;
Duration;26;remove ;15;;;;;;
Duration;18;remove ;14;;;;;;
Duration;7;insert ;15;;;;;;
Duration;3;tryFind ;15;;;;;;
Duration;5;tryFind ;15;;;;;;
Duration;4;tryFind ;15;;;;;;
Duration;18;remove ;14;;;;;;
Duration;3;tryFind ;14;;;;;;
Duration;7;insert ;15;;;;;;
Duration;5;tryFind ;15;;;;;;
Duration;30;remove ;14;;;;;;
Duration;15;remove ;13;;;;;;
Duration;19;remove ;12;;;;;;
Duration;15;remove ;11;;;;;;
Duration;33;remove ;10;;;;;;
Duration;26;remove ;9;;;;;;
